id,net_price,name,hierarchy_id
6650,4490.0,Mistral 35,AB.075
6870,1422.0,Jugo de frambuesa,AB.075
2650,2990.0,Schop heineken,AB.085
6590,6990.0,Jhonnie Walker Black Label ,AB.075
1290,900.0,Pebre,AB.040
1100,4990.0,mechada individual,AB.010
7990,6490.0,Spritz ramazzotti,AB.007
4381,0.0,mechada compartir,AB.530
3230,4990.0,Piscola promo,AB.073
1210,7990.0,Hamburguesa Vegana,AB.020
3270,3990.0,Schop kunstman torobayo,AB.085
1380,1400.0,coca cola sin azucar,AB.050
4401,0.0,chicken curry compartir,AB.530
4240,8990.0,Hamburguesa Americana,AB.520
3560,4590.0,Schop calafate ,AB.085
6390,6990.0,Sandi spritz,AB.075
4361,0.0,veggie compartir,AB.530
7470,5990.0,Tropical gin,AB.075
4230,8990.0,Hamburguesa Clasica,AB.520
7400,4990.0,Mojito tradicional,AB.075
6850,3290.0,Limonada menta,AB.075
7430,5990.0,Mojito Mango,AB.075
4371,0.0,cheese and bacon compartir,AB.530
7700,6990.0,Basil,AB.075
1050,5990.0,cheese and bacon compartir,AB.010
1040,4290.0,cheese and bacon individual,AB.010
1180,6990.0,Hamburguesa Clasica,AB.020
1070,5290.0,veggie compartir,AB.010
1690,6290.0,Hamburguesa  Americana,AB.020
6860,3290.0,Jugo de mango,AB.075
7410,5990.0,Mojito maracuya,AB.075
1640,1290.0,Agua con Gas,AB.050
1220,4490.0,Chicken Box S,AB.030
GETJUSTOEX0012,0.0,coca cola promo,BA.200
1360,300.0,Honey Mustard,AB.040
4220,0.0,Ceviche mixto ,AB.510
7180,3290.0,Jugo de melon ,AB.075
2590,3590.0,Austral Lager,AB.080
1090,5990.0,mexa compartir,AB.010
6600,6590.0,Jack Daniels N7,AB.075
uber1610,5240.0,Chicken Box S,AB.100115
uberbox20,0.0,coca cola sin azucar,BA.370
1790,6890.0,Hamburguesa Americana ,AB.100120
7420,750.0,Mojito maracuya,AB.075
1200,7990.0,Hamburguesa Vegetariana,AB.020
UBEREATS0003,4690.0,cheese and bacon individual,AB.100110
9050,6990.0,Hamburguesa Americana,AB.410
9130,4490.0,cheese and bacon individual,AB.400
TOTEATDVYCOST,3213.0,Costo Delivery,AB.
9121,4490.0,veggie compartir,AB.400
1110,5990.0,mechada compartir,AB.010
3280,6490.0,2 SCHOP KUNSTMAN,AB.085
7350,7990.0,Clavo oxidado,AB.075
1370,990.0,coca cola,AB.050
7450,6990.0,Mojito coco,AB.075
6460,7490.0,Moscow Mule,AB.075
7320,5990.0,Piña colada,AB.075
6540,5990.0,Caipiriña,AB.075
1920,5990.0,pollo albahaca compartir,AB.010
6510,5990.0,Cosmopolitan,AB.075
6500,4990.0,Mojito tradicional,AB.075
UBEREATS0009,4290.0,choclo champiñon compartir,AB.100110
8030,6990.0,Tropical gin ,AB.007
1170,5290.0,choclo champiñon compartir,AB.010
2680,0.0,2 SCHOP  HEINEKEN,AB.085
6900,500.0,Chelada ,AB.085
6910,335.0,Michelada ,AB.085
1700,7490.0,Hamburguesa Hot,AB.020
1030,5290.0,beefie compartir,AB.010
1350,300.0,Lemon Garlic,AB.040
1010,4490.0,single fries compartir,AB.010
UBEREATS0012,6990.0,Hamburguesa Vegetariana,AB.100120
UBEREATS0002,3790.0,beefie compartir,AB.100110
UBEREATS0007,4540.0,chicken curry compartir,AB.100110
1720,6215.0,Hamburguesa Vegana,AB.100120
7440,6990.0,Mojito frutos rojos,AB.075
6680,6490.0,Beefeater ,AB.075
1340,300.0,Salsa de la casa,AB.040
1460,11990.0,2 papas grandes + 2 bebidas,AB.008
GETJUSTOEX0059,0.0,cheese and bacon compartir promo,BA.260
GETJUSTOEX0065,0.0,choclo champiñon compartir promo,BA.260
6140,0.0,coca cola promo,BA.520
6110,0.0,jugo durazno promo,BA.520
6560,2156.0,Flor de Caña 12 años,AB.075
6490,4990.0,Margarita,AB.075
6890,3290.0,Jugo de maracuya,AB.075
3160,6570.0,2  Ramazzotti,AB.075
4260,8990.0,Hamburguesa Vegetariana,AB.520
4310,8990.0,Hamburguesa Italiana,AB.520
4330,0.0,single fries individual,AB.530
6400,6990.0,Solsticio,AB.075
6440,2589.0,Ramazzotti Spritz,AB.075
7690,6990.0,Nitantiki,AB.075
4350,0.0,choclo champiñon individual,AB.530
2280,11890.0,2 hamburguesas con papas + 2 bebidas,AB.105
1190,0.0,Hamburguesa Clasica con papas promo,BA.325
2230,0.0,Hamburguesa Vegana con papas promo,BA.325
2240,0.0,coca cola promo,BA.326
2270,0.0,fanta promo,BA.326
4160,6990.0,Mix de empanaditas,AB.510
GETJUSTOEX0019,0.0,Agua sin Gas promo,BA.200
4710,14990.0,2 hamburguesas con papas,AB.070
3420,0.0,Hamburguesa Americana sin papas promo,AB.070
3430,0.0,Hamburguesa Clasica sin papas promo,AB.070
1060,4990.0,veggie individual,AB.010
6960,1990.0,Doble carne ,AB.020
UBEREATS0010,6690.0,Hamburguesa Clasica,AB.100120
uberbox40,0.0,sprite promo,BA.370
UBEREATS0023,300.0,Salsa garlic mayo,AB.100130
2460,1290.0,Ginger Ale Light,AB.050
1160,4990.0,choclo champiñon individual,AB.010
2360,8490.0,2 papas grandes + 2 bebidas,AB.105
2250,0.0,coca cola sin azucar promo,BA.326
2290,0.0,cheese and bacon compartir promo,BA.330
2300,0.0,beefie compartir promo,BA.330
1490,11399.0,2 hamburguesas con papas + 2 bebidas,AB.008
500001,0.0,Hamburguesa Vegetariana con papas promo,BA.230
GETJUSTOEX0036,0.0,Hamburguesa Clasica con papas promo,BA.230
6100,0.0,fanta promo,BA.520
UBEREATS0004,4123.0,veggie compartir,AB.100110
6840,3290.0,Limonada Menta Jengibre,AB.075
GETJUSTOEX0060,0.0,veggie compartir promo,BA.260
GETJUSTOEX0058,0.0,beefie compartir promo,BA.260
6120,0.0,sprite promo,BA.520
6150,0.0,coca cola sin azucar promo,BA.520
4180,7990.0,Only Chicken ,AB.510
6690,6490.0,Bombay Sapphire,AB.075
6810,1990.0,Fentimans Original,AB.075
1710,0.0,Hamburguesa Americana con papas promo,BA.325
2970,6590.0,Lomo salteado ,AB.095
10,14990.0,2 hamburguesas con papas,AB.420
6030,0.0,Hamburguesa Americana con papas promo,BA.510
6000,0.0,Hamburguesa Clasica con papas promo,BA.510
7660,2000.0,Doble ,AB.520
3100,6990.0,2 Mojitos x6990,AB.075
1600,5990.0,Only Chicken,AB.030
1630,1290.0,Agua sin Gas,AB.050
4341,0.0,beefie compartir,AB.530
4550,9990.0,Hamburguesa Original,AB.520
GETJUSTOEX0013,0.0,coca cola sin azucar promo,BA.200
1250uber,4690.0,pollo albahaca individual,AB.100110
4110,4990.0,TERREMOTO,AB.006
6200,0.0,Agua con Gas promo,BA.520
3180,7990.0,"Hamburguesa italiana con papas fritas (Mayo, palta, lechuga , tomate )",AB.020
1390,990.0,fanta,AB.050
4370,0.0,cheese and bacon individual,AB.530
4380,0.0,mechada individual,AB.530
4320,8990.0,Hamburguesa Hot,AB.520
4200,0.0,Pulpo asado y papas ,AB.510
7740,5990.0,Piña colada,AB.075
1510,11990.0,2 hamburguesas con papas + 2 bebidas,AB.070
500000,0.0,Hamburguesa Clasica con papas promo,AB.070
60000,0.0,coca cola promo,AB.008
60010,0.0,coca cola sin azucar promo,AB.008
2610,3590.0,Kunstman Torobayo,AB.080
3170,8990.0,2 Pisco sour,AB.072
7900,8990.0,2 mistral 35 ,AB.550
7910,8990.0,2 mistral de 40,AB.550
6660,4490.0,Mistral 40,AB.075
1270,900.0,Cheddar,AB.040
3360,3590.0,BLUE MOON,AB.080
GETJUSTOEX0062,0.0,mechada compartir promo,BA.260
1400,990.0,sprite,AB.050
3550,8000.0,2 SCHOP CALAFATE,AB.085
2260,0.0,jugo durazno promo,BA.326
2370,0.0,choclo champiñon compartir promo,BA.330
7340,6990.0,Espiritu de los andes ,AB.075
2310,0.0,mechada compartir promo,BA.330
1730,650.0,coca cola sin azucar,AB.100140
8040,6990.0,Sandi spritz ,AB.007
4560,5940.0,Hamburguesa Blueshop,AB.520
7720,6990.0,Candy,AB.075
4351,0.0,choclo champiñon compartir,AB.530
7680,6990.0,Sisi baileys,AB.075
GETJUSTOEX0061,0.0,mexa compartir promo,BA.260
7360,7990.0,Atardecer,AB.075
4400,0.0,chicken curry individual,AB.530
7010,12990.0,2 hamburguesas con papas + 2 bebidas,AB.420
6010,0.0,Hamburguesa Hot con papas promo,AB.420
4411,0.0,pollo albahaca compartir,AB.530
4570,9990.0,Hamburguesa Fry chicken tutri,AB.520
3370,0.0,Hamburguesa Americana sin papas,AB.125
1310,900.0,choclo champiñon extra,AB.040
1300,900.0,Guacamole,AB.040
1240,300.0,Crema acida,AB.040
1020,4990.0,beefie individual,AB.010
GETJUSTOEX0035,0.0,Aparte,AB.040
1000,2990.0,single fries individual,AB.010
400000,0.0,coca cola,AB.030
4660,7990.0,Hamburguesa Blueshop sin papas,AB.125
UBEREATS0021,0.0,Salsa de la casa ,AB.100130
1990,0.0,Hamburguesa Hot con papas promo,BA.325
6470,4990.0,Pisco Sour,AB.075
6480,4990.0,Tom Collins ,AB.075
UBEREATS0001,2490.0,single fries compartir,AB.100110
1260,900.0,beefie extra local,AB.040
UBEREATS0006,4290.0,mechada individual,AB.100110
uber1600,6390.0,Only Chicken,AB.100115
1670,0.0,Agua sin Gas,AB.050
4750,250.0,ENVASE PARA LLEVAR ,AB.006
3380,6490.0,Hamburguesa Clasica sin papas,AB.125
9151,4490.0,beefie compartir,AB.400
TOTEATDVYERROR,7990.0,Hamburguesa Vegetariana,AB.
6410,6990.0,Calypso,AB.075
6420,6990.0,Carnavalera,AB.075
2350,0.0,veggie compartir promo,BA.330
7750,8990.0,2 Red label ,AB.550
1120,5290.0,chicken curry individual,AB.010
1130,5990.0,chicken curry compartir,AB.010
7260,5990.0,Habana especial,AB.075
GETJUSTOEX0034,0.0,En las papas,BA.310
1320,900.0,Vegetales salteados,AB.040
4410,0.0,pollo albahaca individual,AB.530
6430,5990.0,Aperol Spritz,AB.075
2910,1990.0,Red bull,AB.050
3210,5990.0,Caipiriña happy,AB.073
7000,11990.0,2 papas grandes + 2 bebidas,AB.420
6370,0.0,choclo champiñon compartir promo,BA.530
6320,0.0,mechada compartir promo,BA.530
